id,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,odd_time_signature,valence,cluster
4Xl2PrS3DJqqSKXCo6Uhv9,0.485,149613.0,0.378,0.0,0.103,-11.773,1,0.0337,92.928,0,0.528,0
6HSXNV0b4M4cLJ7ljgVVeh,0.513,149880.0,0.396,0.177,0.11,-13.061,1,0.0299,140.208,0,0.229,0
4wteGC0HtLeZWjDcczc4Pw,0.889,126774.0,0.6,0.0,0.08,-10.603,1,0.144,123.978,0,0.501,0
38jwN2vvBU7CjrySrZ9t35,0.464,179427.0,0.614,0.0035,0.109,-11.073,1,0.0423,109.704,0,0.736,0
5HGibWoxnkYSkl6mHmAlOE,0.661,190187.0,0.751,0.0,0.105,-2.909,1,0.0481,109.995,0,0.875,0
2HWWNoWEEEECwZhAiLg7ib,0.764,199853.0,0.751,0.000237,0.164,-3.74,1,0.0703,91.977,0,0.418,0
76TZCvJ8GitQ2FA1q5dKu0,0.439,308520.0,0.488,0.000339,0.16,-14.464,1,0.0615,93.017,0,0.629,0
0WFryfbNKPXVtVQlz5dZ8H,0.516,60720.0,0.254,0.855,0.189,-16.027,0,0.0589,56.829,0,0.304,0
5KD6AEm19QnMbfWpfoOHMl,0.793,146437.0,0.512,3.81e-05,0.0889,-9.319,1,0.0338,109.994,0,0.0662,0
3aRpu8CzSJTeDCNwuqLfTB,0.607,209067.0,0.417,0.0,0.114,-10.383,1,0.0413,124.111,0,0.351,0
12GEpg2XOPyqk03JZEZnJs,0.64,220781.0,0.533,0.0,0.0864,-6.596,1,0.0706,99.968,0,0.515,0
7B5Npv8NjjTCzk8PLpU66h,0.331,285935.0,0.341,0.0,0.109,-6.057,0,0.0309,109.821,0,0.152,0
2yeI0FRWd1sqGpHEUc5DFm,0.547,173587.0,0.547,5.85e-06,0.172,-8.967,1,0.0306,135.798,0,0.454,0
24OF9ihv97VwNXQZ2gGy8v,0.356,147840.0,0.323,0.000652,0.592,-8.165,1,0.0293,130.02,0,0.212,0
285vxuRky8WKTIrNP332sl,0.469,143921.0,0.773,5.16e-05,0.987,-6.055,1,0.0454,112.718,0,0.325,0
43zdsphuZLzwA9k4DJhU0I,0.367,196077.0,0.111,3.97e-05,0.0897,-14.084,1,0.0972,82.642,0,0.198,0
0ZUo4YjG4saFnEJhdWp9Bt,0.519,199947.0,0.749,0.0,0.119,-3.318,0,0.0405,147.905,0,0.29,0
41LiGcvaTkXHyPjfsxKvWv,0.77,278333.0,0.668,0.0,0.0838,-6.942,0,0.0399,99.16,0,0.94,0
5y788ya4NvwhBznoDIcXwK,0.525,185413.0,0.216,0.0,0.107,-13.551,1,0.0301,106.761,0,0.328,0
0ZeFBtxHonIwxDYMu1JgiA,0.677,246707.0,0.621,2.46e-06,0.142,-5.725,1,0.23,91.147,0,0.818,0
0dzbfio3qTYG9uk40SJNcr,0.467,103560.0,0.431,7.7e-06,0.0727,-13.274,0,0.0439,75.74,0,0.577,0
2YpeDb67231RjR0MgVLzsG,0.878,157067.0,0.619,0.0,0.113,-5.56,1,0.102,136.041,0,0.639,0
4REjaHRPmVb7btssqChJSy,0.684,247000.0,0.495,6.98e-05,0.157,-13.877,0,0.0422,101.999,0,0.528,0
3TfHKaSjz2SnAzIMFbdmWj,0.359,212960.0,0.861,1.8e-06,0.986,-9.22,0,0.214,130.994,0,0.662,0
42nSaPdT6g3ZIMHmKLlP2p,0.82,239400.0,0.937,0.000122,0.35,-4.81,0,0.0549,130.992,0,0.906,0
3aRpu8CzSJTeDCNwuqLfTB,0.607,209067.0,0.417,0.0,0.114,-10.383,1,0.0413,124.111,0,0.351,0
2mqaYmF0XmV8egZB6jQOtN,0.69,233415.0,0.74,0.0,0.0858,-3.342,1,0.0351,125.092,0,0.657,0
03fT3OHB9KyMtGMt2zwqCT,0.506,226867.0,0.886,0.0,0.0734,-3.225,1,0.0655,143.935,0,0.595,0
4SWkHr15YgPdLG25gJpJiX,0.757,244960.0,0.489,6.26e-05,0.103,-9.672,0,0.0628,136.435,0,0.805,0
3AhXZa8sUQht0UEdBJgpGc,0.482,369600.0,0.721,0.0,0.189,-6.839,1,0.0321,95.263,0,0.557,0
6meH4I9A4WZtD3z8hnQKqr,0.644,150851.0,0.325,0.0511,0.11,-11.056,1,0.036,108.933,0,0.367,0
63y6xWR4gXz7bnUGOk8iI6,0.623,244453.0,0.734,1.75e-06,0.145,-5.948,1,0.107,107.853,0,0.37,0
3iVcZ5G6tvkXZkZKlMpIUs,0.796,219333.0,0.766,0.0,0.0827,-5.974,1,0.238,110.034,0,0.558,0
0dNMDj7YnLKku0b4NhS3nh,0.586,229627.0,0.652,0.0,0.139,-8.482,1,0.0382,88.157,0,0.625,0
2RBQAtDa21nzhSNdJwkopD,0.64,167880.0,0.809,1.18e-05,0.0765,-5.51,0,0.039,80.958,0,0.82,0
0FJTSBLyvpV63qZzaiQoMf,0.869,231533.0,0.454,0.0155,0.0443,-11.34,1,0.168,78.194,0,0.963,0
6JRLFiX9NJSoRRKxowlBYr,0.776,232200.0,0.559,0.0,0.0671,-8.375,0,0.103,122.242,0,0.758,0
2x0RZdkZcD8QRI53XT4GI5,0.802,157202.0,0.645,0.0,0.119,-6.181,0,0.0715,100.001,0,0.376,0
5Z9KJZvQzH6PFmb8SNkxuk,0.741,212353.0,0.691,0.0,0.0476,-7.395,0,0.0672,150.087,0,0.892,0
4S1bYWrLOC8smuy8kJzxKQ,0.59,279000.0,0.597,2.28e-05,0.169,-6.158,1,0.0275,121.051,0,0.466,0
7kwliM8TCIwdAXBXX0LJXd,0.4,287637.0,0.756,0.0,0.967,-6.174,1,0.0545,126.171,1,0.512,0
2L93TdW2GMue1H2zlkt30F,0.409,229293.0,0.172,0.00112,0.111,-16.44,0,0.0389,132.151,0,0.352,0
2opQESZb7JsRKCvWMBPeuv,0.728,200067.0,0.682,0.0,0.337,-3.749,1,0.218,131.901,0,0.643,0
3A0XNK2dqNFIjG4yBt9Zzd,0.767,186600.0,0.749,0.0,0.0491,-2.615,1,0.0421,100.021,0,0.643,0
3ORn0rgu27z7hlnNgvYWse,0.564,189800.0,0.0561,0.000885,0.696,-22.377,1,0.0325,105.159,0,0.466,0
4RVwu0g32PAqgUiJoXsdF8,0.332,298899.0,0.225,0.00349,0.128,-8.697,1,0.0348,81.055,1,0.297,0
2PyDqCtFcXsucZqTF4rE3i,0.791,269547.0,0.481,1.47e-06,0.0247,-9.39,1,0.124,146.032,0,0.926,0
0KkIkfsLEJbrcIhYsCL7L5,0.786,301714.0,0.808,0.000289,0.0822,-3.702,1,0.0881,105.029,0,0.608,0
7DM4BPaS7uofFul3ywMe46,0.663,259196.0,0.92,1.69e-05,0.101,-4.07,0,0.226,99.935,0,0.533,0
5fdhThPDe6jQQDqCyWrdAn,0.674,161533.0,0.537,0.0,0.131,-10.971,0,0.0363,110.578,0,0.809,0
3yfqSUWxFvZELEM4PmlwIR,0.949,284200.0,0.661,0.0,0.0454,-4.244,0,0.0572,104.504,0,0.76,0
7CyKeDhZSLhY1nFjhyOsSK,0.641,204640.0,0.629,0.000525,0.178,-14.214,0,0.0765,107.827,0,0.33,0
7kwliM8TCIwdAXBXX0LJXd,0.4,287637.0,0.756,0.0,0.967,-6.174,1,0.0545,126.171,1,0.512,0
1zZIGnXIcDKU8QIUkR20nK,0.718,227787.0,0.776,5.3e-06,0.207,-5.208,0,0.0693,120.015,0,0.622,0
2Z5EUCXngeoYD7wmJBcJv1,0.621,149653.0,0.66,0.0,0.072,-6.208,0,0.0366,119.937,0,0.407,0
3SkLW48Xt2knevezFTs0pY,0.682,102734.0,0.357,0.00116,0.11,-11.825,1,0.0753,157.801,0,0.744,0
121sjkub4p4zcFNozkKnQD,0.754,168554.0,0.54,7.51e-05,0.0868,-8.326,1,0.0266,101.738,0,0.79,0
7fs6csqE3EltCrESv6cn0J,0.674,144760.0,0.419,0.0,0.0797,-12.413,0,0.268,150.131,0,0.87,0
3x2ksaXI6EZUWidE2BiLXy,0.582,212224.0,0.528,0.0,0.107,-6.78,1,0.0351,133.828,0,0.5,0
2GImcOxFZ0GP49rmPnPOjT,0.649,173493.0,0.581,0.0,0.0321,-12.161,1,0.0432,148.887,0,0.984,0
7Epjhq046YB3Sjjtz9nx0J,0.637,270333.0,0.561,0.0,0.161,-9.959,1,0.0365,133.146,0,0.743,0
08yuIzi0XniEaYf20qCmHm,0.452,294747.0,0.671,0.0,0.878,-6.95,1,0.0923,82.477,0,0.525,0
6r9KZ2g5dXZXXLF6vOHnet,0.73,231733.0,0.561,0.0473,0.0493,-12.851,1,0.203,80.892,0,0.691,0
1IHWl5LamUGEuP4ozKQSXZ,0.65,243717.0,0.715,0.000291,0.126,-5.198,0,0.253,106.672,0,0.187,0
4bz7uB4edifWKJXSDxwHcs,0.745,393813.0,0.714,0.0222,0.363,-3.681,1,0.0751,104.003,0,0.365,0
49uBVeaM3ixGD8VIeqh9KI,0.579,192933.0,0.0233,6.74e-05,0.101,-18.57,0,0.0445,117.444,0,0.389,0
2nGo3rTkxlo3fSwSMKgNKj,0.36,236320.0,0.299,1.06e-06,0.919,-11.763,1,0.0307,76.472,0,0.406,0
7y6vnVnkRzcxUZMdoCaksh,0.664,353347.0,0.28,0.0,0.159,-7.606,0,0.0362,115.116,0,0.41,0
5MKYnizdhDDik45mEncVXu,0.703,310707.0,0.336,0.0258,0.0447,-15.422,0,0.334,73.911,0,0.712,0
5W3cjX2J3tjhG8zb6u0qHn,0.817,224693.0,0.716,0.00263,0.358,-8.898,0,0.144,123.474,0,0.692,0
4KW1lqgSr8TKrvBII0Brf8,0.724,135920.0,0.573,0.0,0.538,-4.113,1,0.0549,113.088,0,0.438,0
